t_s,lid_ir_1,lid_ir_2,lid_ir_3,lid_ir_4,hv_current,water_1,water_2,pwr_temp,laser_on_sampled
4665.89,37,37,40,40,0,672,669,586,0
4666.45,37,36,40,40,0,674,674,586,0
4667.01,37,36,40,40,0,668,673,586,0
4667.57,37,36,39,40,0,667,669,593,0
4668.14,36,36,39,40,0,667,674,592,0
4668.70,38,36,39,40,0,668,674,593,0
4669.27,37,35,38,41,0,665,669,591,0
4669.83,39,37,39,39,0,667,666,592,0
4670.40,38,36,40,40,0,674,667,589,0
4670.96,37,36,38,41,0,668,667,593,0
4671.52,37,37,41,40,0,671,674,590,0
4672.09,38,36,41,40,0,671,666,589,0
4672.65,37,36,40,40,0,669,666,590,0
4673.22,37,36,38,41,0,669,676,593,0
4673.78,38,37,40,41,0,675,674,590,0
4674.35,36,38,40,40,0,669,667,590,0
4674.91,37,36,39,40,0,663,667,590,0
4675.48,38,38,39,40,0,667,666,592,0
4676.05,38,36,40,40,0,666,670,587,0
4676.62,38,36,38,39,0,672,667,586,0
4677.18,38,36,38,40,0,670,667,589,0
4677.75,37,36,39,40,0,666,664,592,0
4678.31,36,37,40,39,0,665,672,593,0
4678.88,37,36,40,40,0,667,669,593,0
4679.44,37,36,40,40,0,674,678,591,0
4680.01,37,36,40,39,0,667,665,587,0
4680.57,37,36,39,38,0,676,677,587,0
4681.14,37,35,40,40,0,675,670,587,0
4681.70,38,37,39,41,0,672,671,593,0
4682.27,36,36,39,40,0,675,671,592,0
4682.84,38,37,38,41,0,675,667,592,0
4683.40,37,36,38,40,0,667,666,593,0
4683.97,36,36,40,40,0,668,666,591,0
4684.53,37,36,39,40,0,669,669,594,0
4685.10,38,36,40,40,0,674,667,592,0
4685.66,37,36,39,39,0,673,669,586,0
4686.23,37,37,40,40,0,668,667,586,0
4686.79,36,36,39,39,0,668,666,593,0
4687.36,37,37,39,40,0,673,666,586,0
4687.92,37,36,40,41,0,666,669,593,0
4688.49,37,37,39,40,0,674,666,587,0
4689.06,36,36,39,41,0,666,674,586,0
4689.63,37,37,40,40,0,673,675,588,0
4690.19,37,36,40,40,0,662,674,593,0
4690.76,38,35,39,40,0,673,673,586,0
4691.32,37,37,40,41,0,671,671,593,0
4691.89,38,36,40,40,0,673,665,592,0
4692.45,37,36,40,40,0,674,672,591,0
4693.02,37,36,40,40,0,675,677,587,0
4693.58,38,37,40,40,0,677,668,592,0
4694.15,37,36,40,39,0,667,675,587,0
4694.71,37,36,40,39,0,676,675,593,0
4695.27,37,37,40,40,0,666,671,588,0
4695.84,38,36,40,40,0,674,673,587,0
4696.40,37,36,40,40,0,670,672,590,0
4696.97,37,36,38,40,0,669,674,588,0
4697.53,37,37,39,40,0,676,674,589,0
4698.10,38,36,40,39,0,677,669,591,0
4698.67,37,38,39,38,0,673,676,593,0
4699.23,38,36,39,40,0,670,675,587,0
4699.80,38,36,40,40,0,675,671,588,0
4700.37,38,36,40,40,0,673,668,583,0
4700.93,37,37,39,39,0,671,670,591,0
4701.50,37,35,41,39,0,675,674,587,0
4702.06,37,37,39,40,0,668,675,588,0
4702.63,37,36,39,40,0,669,666,591,0
4703.19,37,37,39,41,0,667,666,588,0
4703.75,36,36,39,40,0,672,667,588,0
4704.32,37,36,40,38,0,671,673,587,0
4704.88,37,36,39,40,0,676,673,586,0
4705.44,38,36,38,40,0,676,667,586,0
4706.01,37,36,40,40,0,670,669,587,0
4706.58,36,36,40,39,0,677,673,586,0
4707.15,37,37,40,41,0,674,670,589,0
4707.72,37,36,40,41,0,672,668,593,0
4708.28,38,37,39,40,0,669,665,591,0
4708.85,37,35,40,41,0,667,672,586,0
4709.41,37,36,40,41,0,671,674,586,0
4709.98,37,37,40,40,0,675,667,587,0
4710.54,37,37,39,41,0,666,667,590,0
4711.11,38,37,40,40,0,667,666,591,0
4711.67,37,36,38,40,0,670,668,586,0
4712.23,37,36,38,41,0,667,667,593,0
4712.80,38,36,39,41,0,666,673,592,0
4713.36,37,37,39,40,0,675,669,592,0
4713.93,37,36,40,39,0,671,672,589,0
4714.49,38,37,41,40,0,672,666,587,0
4715.05,37,36,38,39,0,666,672,586,0
4715.62,37,36,40,39,0,667,671,592,0
4716.18,39,36,40,40,0,665,665,590,0
4716.75,38,37,40,41,0,673,665,589,0
4717.31,36,36,39,40,0,678,673,593,0
4717.87,37,36,39,39,0,674,665,589,0
4718.44,38,37,40,42,0,668,669,593,0
4719.00,38,36,40,40,0,671,674,586,0
4719.57,37,36,39,40,0,668,667,592,0
4720.13,37,36,40,40,0,673,668,590,0
4720.69,38,37,40,40,0,674,667,592,0
4721.26,37,36,41,40,0,664,672,591,0
4721.83,37,37,39,40,0,671,669,588,0
4722.40,36,37,40,39,0,665,666,587,0
4722.96,38,37,39,40,0,676,675,586,0
4723.53,37,37,40,41,0,672,667,591,0
4724.10,38,36,39,40,0,669,668,594,0
4724.66,37,37,39,41,0,666,671,586,0
4725.23,37,37,40,40,0,673,674,586,0
4725.79,38,37,39,41,0,676,674,591,0
4726.36,37,37,40,41,0,675,670,586,0
4726.92,37,36,38,40,0,675,669,592,0
4727.49,37,37,39,40,0,673,676,590,0
4728.05,38,36,40,39,0,669,669,588,0
4728.62,37,36,40,40,0,676,674,586,0
4729.19,37,36,40,40,0,666,674,586,0
